Date,Soil_Temperature (°C),Soil_Moisture (%),Air_Temperature (°C),Air_Humidity (%),Paddy_Growth_Stage,Recommended_Fertilizer,Quantity_kg_per_acre,Purpose,Sustainability_Note,Predicted_Yield_ton_per_ha,Cost_LKR_per_ha
09/09/2025,23.8,69.2,34.3,64,Panicle Initiation,DAP,22.2,Phosphorus for root development,Use split application to reduce leaching.,10.37,3330
06/06/2025,29,51.5,29.8,62.2,Panicle Initiation,Humic Acid,13.4,Soil conditioner and nutrient uptake,Maintain irrigation schedule to avoid fertilizer runoff.,9.37,2948
02/07/2025,33.9,70.4,32,80.5,Flowering,Iron Chelate,7.3,Iron supply to prevent chlorosis,Use split application to reduce leaching.,10.77,3285
12/02/2025,31.8,66.7,32,80.9,Panicle Initiation,Urea,18.1,Nitrogen boost for vegetative growth,Prefer organic alternatives where possible.,10.84,2172
13/11/2025,27.4,71.6,34.5,64.9,Panicle Initiation,Urea,17.6,Nitrogen boost for vegetative growth,Prefer organic alternatives where possible.,10.52,2112
23/06/2025,26.7,74.7,29.1,74,Flowering,Boron,4.6,Micronutrient for flower formation,Use split application to reduce leaching.,10.08,2300
05/07/2025,32.3,30.6,31,67.1,Seedling,Ammonium Sulphate,21,Nitrogen and sulphur supply,Maintain irrigation schedule to avoid fertilizer runoff.,8.99,2940
07/06/2025,32.1,34.8,26.5,80.6,Harvest,Phosphate Rock,16.8,Slow-release phosphorus,Ensure soil testing before application.,9.15,1512
11/07/2025,23.7,70.8,32.2,69.1,Tillering,Organic Compost,34.4,Improves soil structure and moisture retention,Avoid chemical overuse; combine with compost.,10.7,1720
11/08/2025,30.3,45.1,32.8,90.4,Flowering,Iron Chelate,9.2,Iron supply to prevent chlorosis,Prefer organic alternatives where possible.,9.84,4140
26/06/2025,26.7,55.8,32.4,80.9,Seedling,Urea,22.6,Nitrogen boost for vegetative growth,Maintain irrigation schedule to avoid fertilizer runoff.,10.13,2712
17/01/2025,24.2,56.9,27.3,78.8,Flowering,Zinc Sulphate,10.6,Improves grain quality and resistance,Use split application to reduce leaching.,9.5,3180
28/05/2025,24,53.4,34,68.4,Harvest,Phosphate Rock,16.6,Slow-release phosphorus,Use split application to reduce leaching.,9.55,1494
12/07/2025,22.5,57,32.8,74,Panicle Initiation,Humic Acid,16.3,Soil conditioner and nutrient uptake,Use split application to reduce leaching.,9.87,3586
03/05/2025,23.2,65.8,29.9,68.4,Panicle Initiation,Urea,21.4,Nitrogen boost for vegetative growth,Ensure soil testing before application.,9.96,2568
28/04/2025,27.3,49.6,26.4,84.1,Harvest,Phosphate Rock,17.8,Slow-release phosphorus,Use split application to reduce leaching.,9.7,1602
31/10/2025,25.2,35.8,33,61.5,Panicle Initiation,Urea,22.6,Nitrogen boost for vegetative growth,Prefer organic alternatives where possible.,8.7,2712
22/08/2025,27.8,55,28.8,81.4,Panicle Initiation,DAP,26.8,Phosphorus for root development,Use split application to reduce leaching.,10.23,4020
06/07/2025,29.1,64.1,31.5,77.7,Tillering,Compost Tea,19.4,Enhances microbial activity,Prefer organic alternatives where possible.,10.47,1552
08/04/2025,27.8,73.5,27.8,84.5,Harvest,Organic Compost,14,Improves soil structure and moisture retention,Avoid chemical overuse; combine with compost.,10.59,700
14/05/2025,29.3,69.8,27.9,77.6,Panicle Initiation,DAP,22.7,Phosphorus for root development,Ensure soil testing before application.,10.61,3405
18/04/2025,23.2,53.7,31.4,94.3,Flowering,Copper Sulphate,6,Micronutrient for enzyme activation,Use split application to reduce leaching.,9.56,2400
26/02/2025,28,44.2,35.2,94,Flowering,Boron,4.8,Micronutrient for flower formation,Use split application to reduce leaching.,9.55,2400
27/04/2025,22.6,30.8,28.4,63.2,Flowering,Boron,4.3,Micronutrient for flower formation,Use split application to reduce leaching.,8.21,2150
02/03/2025,24.7,35.1,30.3,93.9,Tillering,Biochar,22,Improves soil fertility and carbon retention,Prefer organic alternatives where possible.,9.48,2200
16/05/2025,32.7,74.4,29,71.2,Seedling,DAP,18.6,Phosphorus for root development,Maintain irrigation schedule to avoid fertilizer runoff.,10.74,2790
09/07/2025,25.2,57.1,27.6,83.9,Tillering,Biochar,28.4,Improves soil fertility and carbon retention,Prefer organic alternatives where possible.,9.93,2840
20/03/2025,25.8,57.8,29.8,72,Tillering,Urea,30.6,Nitrogen boost for vegetative growth,Prefer organic alternatives where possible.,9.97,3672
22/02/2025,22.3,33.1,32,77.7,Harvest,Organic Compost,16.4,Improves soil structure and moisture retention,Avoid chemical overuse; combine with compost.,8.7,820
19/12/2025,28.2,38,31.8,89.9,Flowering,Zinc Sulphate,9.3,Improves grain quality and resistance,Use split application to reduce leaching.,9.34,2790
09/06/2025,26.4,49,33.4,79.5,Panicle Initiation,DAP,26.1,Phosphorus for root development,Maintain irrigation schedule to avoid fertilizer runoff.,9.88,3915
05/09/2025,25.8,38.9,33.8,64.9,Seedling,DAP,17.8,Phosphorus for root development,Use split application to reduce leaching.,8.88,2670
23/01/2025,25.6,73.1,33.9,83.2,Seedling,Urea,27.9,Nitrogen boost for vegetative growth,Maintain irrigation schedule to avoid fertilizer runoff.,10.75,3348
06/07/2025,27.8,43.8,32,89.7,Seedling,Urea,22.1,Nitrogen boost for vegetative growth,Use split application to reduce leaching.,9.94,2652
31/12/2025,24,34.9,29.7,83.1,Panicle Initiation,Urea,20.7,Nitrogen boost for vegetative growth,Ensure soil testing before application.,9.05,2484
05/12/2025,26.4,45.4,27,62.7,Seedling,Calcium Nitrate,19,Calcium and nitrate supply for strong stems,Ensure soil testing before application.,9.18,3800
26/06/2025,30.9,40.6,31.4,68.7,Tillering,Urea,37.5,Nitrogen boost for vegetative growth,Ensure soil testing before application.,9.63,4500
21/09/2025,28.8,30.6,28,68.1,Flowering,Copper Sulphate,7.5,Micronutrient for enzyme activation,Prefer organic alternatives where possible.,8.45,3000
27/05/2025,27.5,66.2,28.4,94.1,Harvest,Phosphate Rock,19.7,Slow-release phosphorus,Ensure soil testing before application.,10.7,1773
12/03/2025,31.2,73,33.7,79.4,Panicle Initiation,Potash,24.1,Potassium for stress tolerance,Use split application to reduce leaching.,11,3856
12/03/2025,33.3,66.8,28.3,68.4,Flowering,MOP,24.5,Potassium for stem and disease resistance,Avoid chemical overuse; combine with compost.,10.41,3185
26/08/2025,26.2,26.7,28.1,63.8,Flowering,MOP,24.4,Potassium for stem and disease resistance,Ensure soil testing before application.,8.61,3172
29/09/2025,25.8,28.7,30.9,87.4,Tillering,Biochar,22.8,Improves soil fertility and carbon retention,Use split application to reduce leaching.,9.24,2280
18/07/2025,22.1,28.9,33.5,86.7,Flowering,MOP,28.2,Potassium for stem and disease resistance,Ensure soil testing before application.,9.11,3666
17/11/2025,30.6,41.8,31.1,63.5,Flowering,Zinc Sulphate,10.2,Improves grain quality and resistance,Use split application to reduce leaching.,9.09,3060
18/04/2025,32.5,74.7,34.4,87.3,Tillering,MOP,21.2,Potassium for stem and disease resistance,Prefer organic alternatives where possible.,11.51,2756
03/07/2025,24.9,30.4,26.1,60.7,Seedling,Calcium Nitrate,18.5,Calcium and nitrate supply for strong stems,Avoid chemical overuse; combine with compost.,8.19,3700
04/03/2025,26.6,54.7,31.6,63.1,Tillering,MOP,19.3,Potassium for stem and disease resistance,Avoid chemical overuse; combine with compost.,9.65,2509
17/07/2025,31.9,53.4,35.2,84.2,Flowering,MOP,21.9,Potassium for stem and disease resistance,Maintain irrigation schedule to avoid fertilizer runoff.,10.21,2847
01/11/2025,27.9,61.9,34.1,76.4,Seedling,DAP,20.4,Phosphorus for root development,Use split application to reduce leaching.,10.37,3060
08/05/2025,27.5,60.8,28.5,73.5,Tillering,Biochar,22.1,Improves soil fertility and carbon retention,Ensure soil testing before application.,10.18,2210
09/08/2025,26.9,36.3,33.6,82.3,Flowering,MOP,21.6,Potassium for stem and disease resistance,Maintain irrigation schedule to avoid fertilizer runoff.,9.53,2808
19/06/2025,31.6,58.2,28.7,90.6,Seedling,Calcium Nitrate,18.5,Calcium and nitrate supply for strong stems,Use split application to reduce leaching.,10.41,3700
02/05/2025,29.1,70.5,27,92.3,Flowering,Zinc Sulphate,10.7,Improves grain quality and resistance,Use split application to reduce leaching.,10.77,3210
09/02/2025,26.1,26.4,34,60.1,Tillering,Compost Tea,21.7,Enhances microbial activity,Use split application to reduce leaching.,8.6,1736
12/09/2025,27.4,68.9,36,76.2,Harvest,Green Manure,21.9,Nitrogen enrichment from legumes,Use split application to reduce leaching.,10.64,657
31/03/2025,31.6,43,34.7,73.8,Seedling,Ammonium Sulphate,24.6,Nitrogen and sulphur supply,Maintain irrigation schedule to avoid fertilizer runoff.,9.68,3444
24/11/2025,29.9,65.4,31.8,68.5,Flowering,MOP,24.9,Potassium for stem and disease resistance,Maintain irrigation schedule to avoid fertilizer runoff.,10.57,3237
06/09/2025,27.4,58.6,35.5,91.1,Seedling,Ammonium Sulphate,21.2,Nitrogen and sulphur supply,Prefer organic alternatives where possible.,10.62,2968
07/11/2025,29.4,43.1,29.1,66,Flowering,MOP,24.7,Potassium for stem and disease resistance,Prefer organic alternatives where possible.,9.56,3211
12/11/2025,22.8,46.3,28.8,90.4,Seedling,DAP,19.3,Phosphorus for root development,Maintain irrigation schedule to avoid fertilizer runoff.,9.73,2895
24/02/2025,26.2,67.8,33,62.3,Tillering,Urea,36,Nitrogen boost for vegetative growth,Use split application to reduce leaching.,10.59,4320
19/08/2025,26.8,71.7,32.8,90.4,Seedling,Magnesium Sulphate,14.3,Magnesium for chlorophyll synthesis,Maintain irrigation schedule to avoid fertilizer runoff.,10.73,2574
31/05/2025,32,73,27,62.6,Tillering,Urea,33.2,Nitrogen boost for vegetative growth,Maintain irrigation schedule to avoid fertilizer runoff.,10.67,3984
08/02/2025,22.2,41.6,27.2,86.1,Panicle Initiation,Seaweed Extract,11.1,Growth stimulant and micronutrients,Maintain irrigation schedule to avoid fertilizer runoff.,8.91,2775
08/01/2025,27,43,35.2,78,Tillering,Urea,35.4,Nitrogen boost for vegetative growth,Ensure soil testing before application.,10.08,4248
27/04/2025,24,34.3,27.1,73.9,Tillering,Organic Compost,29.9,Improves soil structure and moisture retention,Prefer organic alternatives where possible.,9.12,1495
08/10/2025,27.9,43,30.1,90.6,Tillering,Organic Compost,26.9,Improves soil structure and moisture retention,Prefer organic alternatives where possible.,9.94,1345
09/09/2025,30.7,51.8,30.4,68.5,Tillering,MOP,19.7,Potassium for stem and disease resistance,Prefer organic alternatives where possible.,9.85,2561
27/07/2025,33.9,73.9,33.5,75,Seedling,Ammonium Sulphate,20.5,Nitrogen and sulphur supply,Prefer organic alternatives where possible.,11.05,2870
26/11/2025,24.6,52.2,31.7,77.5,Tillering,Compost Tea,22,Enhances microbial activity,Prefer organic alternatives where possible.,9.61,1760
22/03/2025,31.4,72.9,27.9,89.8,Seedling,Magnesium Sulphate,14.3,Magnesium for chlorophyll synthesis,Use split application to reduce leaching.,10.73,2574
04/02/2025,29.3,48.1,28.9,82.3,Panicle Initiation,DAP,22.3,Phosphorus for root development,Use split application to reduce leaching.,9.75,3345
08/10/2025,27.5,60.6,34.5,67.4,Panicle Initiation,Urea,19.8,Nitrogen boost for vegetative growth,Prefer organic alternatives where possible.,9.9,2376
01/10/2025,24,73.4,34.4,63.7,Flowering,MOP,24,Potassium for stem and disease resistance,Maintain irrigation schedule to avoid fertilizer runoff.,10.53,3120
06/10/2025,26.3,62.1,26.8,94.9,Flowering,Boron,4.9,Micronutrient for flower formation,Ensure soil testing before application.,10.15,2450
29/01/2025,33.8,59.6,35.2,89.2,Seedling,DAP,18.2,Phosphorus for root development,Prefer organic alternatives where possible.,10.68,2730
03/02/2025,31.5,68.8,32.4,63.6,Flowering,Iron Chelate,7.5,Iron supply to prevent chlorosis,Maintain irrigation schedule to avoid fertilizer runoff.,10.4,3375
22/05/2025,31,52.5,32,76.1,Tillering,Organic Compost,28.6,Improves soil structure and moisture retention,Prefer organic alternatives where possible.,10.28,1430
03/01/2025,25.2,46.9,32.6,80.6,Seedling,Urea,23.4,Nitrogen boost for vegetative growth,Prefer organic alternatives where possible.,9.71,2808
12/03/2025,22.3,37.8,27.8,71.9,Panicle Initiation,Humic Acid,13.1,Soil conditioner and nutrient uptake,Prefer organic alternatives where possible.,8.59,2882
24/10/2025,24.8,46.5,35,66.2,Tillering,Organic Compost,28.9,Improves soil structure and moisture retention,Maintain irrigation schedule to avoid fertilizer runoff.,9.67,1445
10/12/2025,23.4,56.9,27.6,91.6,Flowering,Copper Sulphate,6.9,Micronutrient for enzyme activation,Ensure soil testing before application.,9.6,2760
07/09/2025,33.3,34.9,29.4,79.1,Harvest,Phosphate Rock,17,Slow-release phosphorus,Maintain irrigation schedule to avoid fertilizer runoff.,9.4,1530
24/03/2025,25.3,26,28.8,61.8,Flowering,MOP,22.6,Potassium for stem and disease resistance,Use split application to reduce leaching.,8.33,2938
18/03/2025,26.4,41.6,28.6,72.1,Seedling,Ammonium Sulphate,25,Nitrogen and sulphur supply,Use split application to reduce leaching.,9.16,3500
28/04/2025,30,54.1,32.8,61,Flowering,Copper Sulphate,6.7,Micronutrient for enzyme activation,Use split application to reduce leaching.,9.51,2680
23/12/2025,31.8,62.3,32.8,63.5,Panicle Initiation,Urea,19.4,Nitrogen boost for vegetative growth,Use split application to reduce leaching.,10.36,2328
16/02/2025,29.8,70.7,30.6,64.3,Seedling,DAP,21.8,Phosphorus for root development,Use split application to reduce leaching.,10.59,3270
17/06/2025,23.7,72.3,34.4,85.9,Tillering,MOP,19,Potassium for stem and disease resistance,Prefer organic alternatives where possible.,10.66,2470
21/09/2025,25.2,29.9,32.7,79.3,Flowering,Copper Sulphate,7.6,Micronutrient for enzyme activation,Ensure soil testing before application.,8.65,3040
29/03/2025,28.3,71.9,35.1,74,Harvest,Organic Compost,15.8,Improves soil structure and moisture retention,Use split application to reduce leaching.,10.61,790
05/01/2025,25.4,41,27.3,84.6,Panicle Initiation,Seaweed Extract,11.4,Growth stimulant and micronutrients,Ensure soil testing before application.,9.08,2850
25/01/2025,27.1,42,33.3,73.3,Harvest,Green Manure,19.3,Nitrogen enrichment from legumes,Prefer organic alternatives where possible.,9.58,579
12/08/2025,26.8,60.6,32,62.8,Seedling,Calcium Nitrate,17.2,Calcium and nitrate supply for strong stems,Maintain irrigation schedule to avoid fertilizer runoff.,9.8,3440
12/02/2025,24,68.7,27.8,90.1,Flowering,Boron,4.7,Micronutrient for flower formation,Avoid chemical overuse; combine with compost.,10.21,2350
24/01/2025,32.1,46.8,32.2,76,Harvest,Organic Compost,14.5,Improves soil structure and moisture retention,Avoid chemical overuse; combine with compost.,9.56,725
12/06/2025,32.7,29.5,27.3,87.4,Panicle Initiation,Urea,20.5,Nitrogen boost for vegetative growth,Use split application to reduce leaching.,9.16,2460
23/04/2025,32.4,63,35.4,60.1,Flowering,Zinc Sulphate,10.3,Improves grain quality and resistance,Maintain irrigation schedule to avoid fertilizer runoff.,10.03,3090
08/01/2025,28,39.1,26.2,88,Seedling,Ammonium Sulphate,21.7,Nitrogen and sulphur supply,Use split application to reduce leaching.,9.37,3038
25/12/2025,27.5,31.3,30.7,76.2,Tillering,Organic Compost,26.9,Improves soil structure and moisture retention,Use split application to reduce leaching.,9.16,1345
30/07/2025,24.2,68.2,27.7,87.4,Flowering,Iron Chelate,7.2,Iron supply to prevent chlorosis,Prefer organic alternatives where possible.,10.29,3240
02/12/2025,24.8,64.5,32.2,70.7,Tillering,Compost Tea,20.4,Enhances microbial activity,Ensure soil testing before application.,10.26,1632
13/06/2025,33.2,40.6,27.8,62.6,Seedling,Urea,25.8,Nitrogen boost for vegetative growth,Use split application to reduce leaching.,9.29,3096
30/10/2025,24.6,26.3,32.2,70,Tillering,Compost Tea,17.7,Enhances microbial activity,Ensure soil testing before application.,8.68,1416
02/03/2025,33,69.7,35.4,92.2,Tillering,MOP,17.7,Potassium for stem and disease resistance,Prefer organic alternatives where possible.,11.01,2301
24/03/2025,24.8,55.2,31,68.9,Seedling,Calcium Nitrate,19,Calcium and nitrate supply for strong stems,Ensure soil testing before application.,9.71,3800
25/03/2025,32.6,26.7,33.8,82.5,Seedling,DAP,22.5,Phosphorus for root development,Avoid chemical overuse; combine with compost.,9.38,3375
26/12/2025,22.9,64.5,26.2,91.3,Flowering,MOP,28.1,Potassium for stem and disease resistance,Ensure soil testing before application.,10.56,3653
02/04/2025,34,60.3,26.8,64,Panicle Initiation,Potash,20.8,Potassium for stress tolerance,Avoid chemical overuse; combine with compost.,10.26,3328
11/02/2025,33.6,70.9,34.5,64.2,Tillering,MOP,20.4,Potassium for stem and disease resistance,Maintain irrigation schedule to avoid fertilizer runoff.,10.77,2652
06/12/2025,23.4,70.5,34,69.8,Tillering,Biochar,23.4,Improves soil fertility and carbon retention,Maintain irrigation schedule to avoid fertilizer runoff.,10.25,2340
23/04/2025,32.3,65.5,32.9,82.9,Flowering,Iron Chelate,6.9,Iron supply to prevent chlorosis,Ensure soil testing before application.,10.62,3105
08/01/2025,28.1,71.9,32.2,71.6,Flowering,Iron Chelate,9,Iron supply to prevent chlorosis,Prefer organic alternatives where possible.,10.25,4050
12/01/2025,23.3,60.1,27,69.3,Harvest,Organic Compost,13,Improves soil structure and moisture retention,Ensure soil testing before application.,9.44,650
18/04/2025,32,50.1,32.1,68.3,Tillering,Urea,32.9,Nitrogen boost for vegetative growth,Use split application to reduce leaching.,9.94,3948
05/11/2025,33.9,65.3,29.1,74.7,Harvest,Green Manure,21.9,Nitrogen enrichment from legumes,Ensure soil testing before application.,10.8,657
29/07/2025,31.3,51.8,26.9,73.3,Tillering,MOP,19.2,Potassium for stem and disease resistance,Prefer organic alternatives where possible.,9.73,2496
10/01/2025,23.5,29.1,35.4,91.7,Flowering,Zinc Sulphate,11.2,Improves grain quality and resistance,Use split application to reduce leaching.,8.98,3360
08/04/2025,32.7,55.5,30.5,87.3,Flowering,Boron,4.4,Micronutrient for flower formation,Avoid chemical overuse; combine with compost.,10.26,2200
16/07/2025,31,65.8,26.7,88.3,Seedling,Magnesium Sulphate,15.3,Magnesium for chlorophyll synthesis,Avoid chemical overuse; combine with compost.,10.66,2754
28/07/2025,29.3,26,32.8,81.2,Panicle Initiation,Humic Acid,16.9,Soil conditioner and nutrient uptake,Maintain irrigation schedule to avoid fertilizer runoff.,8.92,3718
31/03/2025,27.4,53.5,33.7,66,Panicle Initiation,Urea,19.4,Nitrogen boost for vegetative growth,Maintain irrigation schedule to avoid fertilizer runoff.,9.83,2328
07/03/2025,24.6,32,30.1,71.6,Panicle Initiation,Urea,18.9,Nitrogen boost for vegetative growth,Use split application to reduce leaching.,8.74,2268
21/02/2025,24.6,56.4,28.7,93,Flowering,Copper Sulphate,6.8,Micronutrient for enzyme activation,Ensure soil testing before application.,9.98,2720
20/01/2025,27.8,46,33.3,67.1,Tillering,Urea,32.9,Nitrogen boost for vegetative growth,Use split application to reduce leaching.,9.75,3948
23/05/2025,31.5,40.3,32.2,91.7,Seedling,Magnesium Sulphate,14,Magnesium for chlorophyll synthesis,Avoid chemical overuse; combine with compost.,9.89,2520
30/12/2025,30,30.6,30.2,89.7,Panicle Initiation,Urea,22.3,Nitrogen boost for vegetative growth,Use split application to reduce leaching.,9.49,2676
23/11/2025,33.2,47.8,32.4,77.2,Tillering,Biochar,26.3,Improves soil fertility and carbon retention,Ensure soil testing before application.,10.08,2630
09/12/2025,30.1,30.9,27.8,81.5,Seedling,DAP,20.6,Phosphorus for root development,Avoid chemical overuse; combine with compost.,8.92,3090
25/05/2025,32.3,64.6,33.2,75.6,Harvest,Phosphate Rock,15.7,Slow-release phosphorus,Use split application to reduce leaching.,10.58,1413
01/07/2025,23,48.4,31.4,68,Flowering,Zinc Sulphate,9.1,Improves grain quality and resistance,Prefer organic alternatives where possible.,9.01,2730
08/01/2025,22.4,61,27.4,84.9,Flowering,Iron Chelate,7.7,Iron supply to prevent chlorosis,Avoid chemical overuse; combine with compost.,9.68,3465
01/03/2025,23.9,44.3,35.9,66.7,Tillering,Urea,38.6,Nitrogen boost for vegetative growth,Prefer organic alternatives where possible.,9.56,4632
31/12/2025,28.6,27.4,32.3,83.5,Flowering,Iron Chelate,9,Iron supply to prevent chlorosis,Use split application to reduce leaching.,8.96,4050
26/02/2025,30.6,59.4,31.9,92.4,Tillering,Compost Tea,23,Enhances microbial activity,Ensure soil testing before application.,10.84,1840
16/09/2025,31.3,69.6,34.9,82.5,Tillering,Biochar,25.3,Improves soil fertility and carbon retention,Prefer organic alternatives where possible.,11.17,2530
24/09/2025,28.4,50.9,30.9,91.3,Seedling,Calcium Nitrate,15.6,Calcium and nitrate supply for strong stems,Maintain irrigation schedule to avoid fertilizer runoff.,10.03,3120
30/03/2025,31.2,51.8,30.8,76.4,Harvest,Green Manure,20,Nitrogen enrichment from legumes,Prefer organic alternatives where possible.,9.9,600
13/05/2025,25.5,62.8,34.6,69.4,Seedling,DAP,17.5,Phosphorus for root development,Avoid chemical overuse; combine with compost.,10.15,2625
15/08/2025,33.7,52.9,27.4,62.3,Flowering,Copper Sulphate,6.3,Micronutrient for enzyme activation,Use split application to reduce leaching.,9.31,2520
29/10/2025,32.5,28.1,32.5,68.8,Seedling,Ammonium Sulphate,21,Nitrogen and sulphur supply,Maintain irrigation schedule to avoid fertilizer runoff.,9.11,2940
12/12/2025,24.3,35.9,34.2,77.5,Tillering,Urea,32.5,Nitrogen boost for vegetative growth,Avoid chemical overuse; combine with compost.,9.44,3900
28/08/2025,31.6,32,26.7,72.3,Flowering,Boron,5,Micronutrient for flower formation,Prefer organic alternatives where possible.,8.82,2500
08/04/2025,27.1,29.5,30.5,77.4,Flowering,Zinc Sulphate,9.3,Improves grain quality and resistance,Avoid chemical overuse; combine with compost.,8.56,2790
03/09/2025,32.1,51.5,33.8,71.8,Seedling,Magnesium Sulphate,14.4,Magnesium for chlorophyll synthesis,Maintain irrigation schedule to avoid fertilizer runoff.,9.87,2592
20/04/2025,31.9,34.7,28.3,70.1,Seedling,Ammonium Sulphate,24.1,Nitrogen and sulphur supply,Use split application to reduce leaching.,9.2,3374
14/06/2025,22.8,38.3,30,81.8,Panicle Initiation,Seaweed Extract,9.3,Growth stimulant and micronutrients,Maintain irrigation schedule to avoid fertilizer runoff.,8.94,2325
02/05/2025,33.1,53.8,26.4,65.6,Tillering,MOP,21,Potassium for stem and disease resistance,Ensure soil testing before application.,9.71,2730
12/01/2025,26,54,31.4,70,Harvest,Green Manure,21.3,Nitrogen enrichment from legumes,Use split application to reduce leaching.,9.58,639
13/02/2025,30.9,45.6,32.8,69.5,Seedling,Ammonium Sulphate,21.5,Nitrogen and sulphur supply,Avoid chemical overuse; combine with compost.,9.57,3010
01/08/2025,31.2,71.4,33.5,84.4,Harvest,Green Manure,22.3,Nitrogen enrichment from legumes,Ensure soil testing before application.,11,669
02/11/2025,24.2,63.3,31.9,82.1,Harvest,Organic Compost,15.3,Improves soil structure and moisture retention,Prefer organic alternatives where possible.,10.04,765
10/08/2025,29.9,53.3,28.3,75.1,Panicle Initiation,Seaweed Extract,10.7,Growth stimulant and micronutrients,Ensure soil testing before application.,9.63,2675
22/08/2025,28.5,64.7,35.6,75.6,Tillering,Organic Compost,33.9,Improves soil structure and moisture retention,Ensure soil testing before application.,10.96,1695
19/11/2025,34,34.4,31.9,86.8,Panicle Initiation,Humic Acid,13.1,Soil conditioner and nutrient uptake,Avoid chemical overuse; combine with compost.,9.46,2882
23/07/2025,27.7,49.5,35.7,73.5,Tillering,Urea,36.6,Nitrogen boost for vegetative growth,Ensure soil testing before application.,10.04,4392
26/07/2025,29,27.9,31.5,84,Flowering,Copper Sulphate,6.2,Micronutrient for enzyme activation,Ensure soil testing before application.,8.88,2480
02/02/2025,33.1,35.7,31.9,90.2,Tillering,Biochar,25.5,Improves soil fertility and carbon retention,Avoid chemical overuse; combine with compost.,9.66,2550
23/10/2025,32.9,57.3,31.4,77.6,Flowering,Iron Chelate,7.4,Iron supply to prevent chlorosis,Use split application to reduce leaching.,9.98,3330
30/09/2025,32.9,33.4,35.7,83,Panicle Initiation,Urea,20.5,Nitrogen boost for vegetative growth,Maintain irrigation schedule to avoid fertilizer runoff.,9.5,2460
28/06/2025,28.3,47.6,34.9,81.3,Panicle Initiation,Seaweed Extract,10.7,Growth stimulant and micronutrients,Avoid chemical overuse; combine with compost.,9.79,2675
